127.0.0.1 - - [06/May/2023:22:19:57 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/May/2023:22:19:59 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20799
0:0:0:0:0:0:0:1 - - [06/May/2023:22:19:59 +0700] "GET /e-commerce/css/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2023:22:20:02 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/May/2023:22:20:29 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20799
0:0:0:0:0:0:0:1 - - [06/May/2023:22:20:31 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20799
0:0:0:0:0:0:0:1 - - [06/May/2023:22:20:38 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20799
0:0:0:0:0:0:0:1 - - [06/May/2023:22:20:39 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20799
0:0:0:0:0:0:0:1 - - [06/May/2023:22:20:39 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20799
0:0:0:0:0:0:0:1 - - [06/May/2023:22:20:39 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20799
0:0:0:0:0:0:0:1 - - [06/May/2023:22:21:35 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20799
0:0:0:0:0:0:0:1 - - [06/May/2023:22:24:16 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [06/May/2023:22:26:23 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20990
0:0:0:0:0:0:0:1 - - [06/May/2023:22:26:23 +0700] "GET /e-commerce/view/myStyle.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [06/May/2023:22:26:23 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20990
0:0:0:0:0:0:0:1 - - [06/May/2023:22:26:23 +0700] "GET /e-commerce/view/myStyle.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [06/May/2023:22:26:23 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20990
0:0:0:0:0:0:0:1 - - [06/May/2023:22:26:23 +0700] "GET /e-commerce/view/myStyle.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [06/May/2023:22:26:24 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20990
0:0:0:0:0:0:0:1 - - [06/May/2023:22:26:24 +0700] "GET /e-commerce/view/myStyle.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [06/May/2023:22:26:27 +0700] "GET /e-commerce/view/myStyle.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [06/May/2023:22:26:36 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20993
0:0:0:0:0:0:0:1 - - [06/May/2023:22:26:36 +0700] "GET /e-commerce/myStyle.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [06/May/2023:22:27:56 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [06/May/2023:22:28:11 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [06/May/2023:22:29:41 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [06/May/2023:22:32:48 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [06/May/2023:22:32:48 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [06/May/2023:22:32:48 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [06/May/2023:22:32:48 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [06/May/2023:22:32:49 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20997
0:0:0:0:0:0:0:1 - - [06/May/2023:22:33:34 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [06/May/2023:22:33:35 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [06/May/2023:22:33:35 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [06/May/2023:22:33:40 +0700] "GET /e-commerce/view/index.jsp HTTP/1.1" 200 20997
